periodo;residencia_provincia_nombre;Confirmado;Sospechoso;Descartado;total;rat_conf_total;rat_sosp_total;rat_desc_total
202008;Catamarca                                         ;101.0;9.0;928.0;1038.0;0.0973025048;0.0086705202;0.894026975
202008;Chaco                                             ;1905.0;285.0;9172.0;11362.0;0.1676641436;0.025083612;0.8072522443
202008;Chubut                                            ;868.0;94.0;2226.0;3188.0;0.2722710163;0.0294855709;0.6982434128
202008;Córdoba                                           ;6764.0;569.0;13431.0;20764.0;0.3257561164;0.0274031978;0.6468406858
202008;Corrientes                                        ;228.0;41.0;2876.0;3145.0;0.0724960254;0.013036566;0.9144674086
202008;Entre Ríos                                        ;2929.0;119.0;3297.0;6345.0;0.4616233255;0.0187549251;0.5196217494
202008;Formosa                                           ;7.0;13.0;247.0;267.0;0.0262172285;0.0486891386;0.925093633
202008;Jujuy                                             ;6545.0;1132.0;6210.0;13887.0;0.4713040974;0.0815150861;0.4471808166
202008;La Pampa                                          ;71.0;5.0;1416.0;1492.0;0.0475871314;0.0033512064;0.9490616622
202008;La Rioja                                          ;1536.0;9.0;1521.0;3066.0;0.5009784736;0.0029354207;0.4960861057
202008;Mendoza                                           ;7061.0;784.0;7768.0;15613.0;0.452251329;0.0502145648;0.4975341062
202008;Misiones                                          ;6.0;24.0;799.0;829.0;0.0072376357;0.0289505428;0.9638118215
202008;Neuquén                                           ;2112.0;46.0;2389.0;4547.0;0.4644820761;0.0101165604;0.5254013635
202008;Río Negro                                         ;4401.0;65.0;4307.0;8773.0;0.5016527984;0.0074090961;0.4909381056
202008;Salta                                             ;3492.0;493.0;2994.0;6979.0;0.5003582175;0.0706404929;0.4290012896
202008;San Juan                                          ;213.0;4.0;236.0;453.0;0.4701986755;0.0088300221;0.5209713024
202008;San Luis                                          ;140.0;47.0;252.0;439.0;0.3189066059;0.1070615034;0.5740318907
202008;Santa Cruz                                        ;1489.0;92.0;2323.0;3904.0;0.3814036885;0.0235655738;0.5950307377
202008;Santa Fe                                          ;7470.0;724.0;11982.0;20176.0;0.3702418715;0.0358842189;0.5938739096
202008;Santiago del Estero                               ;980.0;191.0;3226.0;4397.0;0.2228792358;0.0434387082;0.7336820559
202008;Tierra del Fuego                                  ;1687.0;8.0;1911.0;3606.0;0.4678313921;0.0022185247;0.5299500832
202008;Tucumán                                           ;2897.0;4197.0;4314.0;11408.0;0.2539446003;0.3678997195;0.3781556802
202009;Buenos Aires                                      ;154095.0;13753.0;166313.0;334161.0;0.4611399894;0.0411568076;0.4977032029
202009;CABA                                              ;29815.0;1448.0;67688.0;98951.0;0.3013107498;0.0146335055;0.6840557448
202009;Catamarca                                         ;509.0;17.0;2299.0;2825.0;0.1801769912;0.0060176991;0.8138053097
202009;Chaco                                             ;3286.0;831.0;11838.0;15955.0;0.2059542463;0.0520839862;0.7419617675
202009;Chubut                                            ;3970.0;355.0;2399.0;6724.0;0.5904223676;0.0527959548;0.3567816776
202009;Córdoba                                           ;26198.0;3532.0;10617.0;40347.0;0.6493171735;0.0875405854;0.2631422411
202009;Corrientes                                        ;1012.0;595.0;3197.0;4804.0;0.2106577852;0.1238551207;0.6654870941
202009;Entre Ríos                                        ;4292.0;148.0;5610.0;10050.0;0.4270646766;0.0147263682;0.5582089552
202009;Formosa                                           ;34.0;7.0;185.0;226.0;0.1504424779;0.0309734513;0.8185840708
202009;Jujuy                                             ;6563.0;516.0;6450.0;13529.0;0.4851060684;0.0381402912;0.4767536403
202009;La Pampa                                          ;631.0;13.0;3626.0;4270.0;0.1477751756;0.0030444965;0.8491803279
202009;La Rioja                                          ;3531.0;42.0;3545.0;7118.0;0.4960663108;0.0059005339;0.4980331554
202009;Mendoza                                           ;18960.0;2035.0;16603.0;37598.0;0.5042821427;0.0541252194;0.4415926379
202009;Misiones                                          ;43.0;16.0;1637.0;1696.0;0.0253537736;0.0094339623;0.9652122642
202009;Neuquén                                           ;7699.0;211.0;4401.0;12311.0;0.6253756803;0.0171391439;0.3574851759
202009;Río Negro                                         ;7135.0;55.0;6027.0;13217.0;0.5398350609;0.0041613074;0.4560036317
202009;Salta                                             ;9466.0;1260.0;7447.0;18173.0;0.5208826281;0.0693336268;0.4097837451
202009;San Juan                                          ;560.0;31.0;319.0;910.0;0.6153846154;0.0340659341;0.3505494505
202009;San Luis                                          ;1670.0;477.0;3007.0;5154.0;0.3240201785;0.0925494761;0.5834303454
202009;Santa Cruz                                        ;3085.0;260.0;2681.0;6026.0;0.5119482244;0.0431463657;0.4449054099
202009;Santa Fe                                          ;35737.0;1206.0;13673.0;50616.0;0.7060415679;0.023826458;0.2701319741
202009;Santiago del Estero                               ;2592.0;344.0;3959.0;6895.0;0.375924583;0.0498912255;0.5741841914
202009;Tierra del Fuego                                  ;2644.0;11.0;2872.0;5527.0;0.4783788674;0.0019902298;0.5196309028
202009;Tucumán                                           ;15153.0;4240.0;3082.0;22475.0;0.6742157953;0.1886540601;0.1371301446
202010;Buenos Aires                                      ;126239.0;9647.0;163128.0;299014.0;0.4221842456;0.0322627034;0.545553051
202010;CABA                                              ;19960.0;1478.0;75501.0;96939.0;0.2059026811;0.0152467015;0.7788506174
202010;Catamarca                                         ;961.0;11.0;2909.0;3881.0;0.2476165937;0.0028343211;0.7495490853
202010;Chaco                                             ;5465.0;1486.0;10576.0;17527.0;0.3118046443;0.0847834769;0.6034118788
202010;Chubut                                            ;10345.0;431.0;5745.0;16521.0;0.6261727498;0.0260880092;0.347739241
202010;Córdoba                                           ;51338.0;11350.0;14613.0;77301.0;0.6641311238;0.1468286309;0.1890402453
202010;Corrientes                                        ;1425.0;385.0;1998.0;3808.0;0.3742121849;0.1011029412;0.5246848739
202010;Entre Ríos                                        ;8853.0;319.0;6612.0;15784.0;0.5608844399;0.0202103396;0.4189052205
202010;Formosa                                           ;36.0;16.0;346.0;398.0;0.0904522613;0.040201005;0.8693467337
202010;Jujuy                                             ;1948.0;244.0;5350.0;7542.0;0.2582869265;0.0323521612;0.7093609122
202010;La Pampa                                          ;2733.0;18.0;5947.0;8698.0;0.3142101633;0.0020694413;0.6837203955
202010;La Rioja                                          ;3105.0;48.0;3912.0;7065.0;0.4394904459;0.0067940552;0.5537154989
202010;Mendoza                                           ;21446.0;1700.0;18653.0;41799.0;0.5130744755;0.0406708294;0.4462546951
